,Year,Player,Age,Tm,G,TS%,3PAr,FTr,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS,WS/48,3P%,FT%,Pick,GS%,FGA/48,PF/48,MPG,Improvement,Frontcourt,Imprv_prev_year,Tm_WS,Tm_next,Change_team
47,1980.0,Don Buse,29,PHO,81.0,0.485,0.134,0.217,5.1,16.0,2.4,0.2,12.4,11.7,4.6,0.08800000000000001,0.241,0.664,34.0,0.6378485009876665,11.313325330132052,2.1320528211284517,30.85185185185185,-2.5999999999999996,0,0.0,46.8,IND,False
48,1980.0,Don Ford,27,LAL,73.0,0.518,0.011,0.193,9.9,7.8,1.0,1.1,14.6,13.7,1.5,0.07200000000000001,0.05,0.8490000000000001,61.0,0.282929954729404,13.165165165165165,6.2942942942942945,13.684931506849315,-0.9,0,0.0,55.400000000000006,CLE,False
49,1980.0,Dudley Bradley,22,IND,82.0,0.502,0.008,0.28600000000000003,5.7,15.9,4.8,1.3,19.5,16.3,3.1,0.073,0.05,0.782,13.0,0.5110650691089216,14.421312284163788,4.593981253083374,24.71951219512195,0.7999999999999998,0,0.0,42.099999999999994,IND,True
50,1980.0,Dwight Jones,27,CHI,74.0,0.555,0.0,0.397,14.2,10.4,0.9,1.6,17.0,20.0,2.7,0.09,0.05,0.726,61.0,0.40455087431643705,16.773480662983427,6.861878453038673,19.567567567567572,0.19999999999999973,1,0.0,36.199999999999996,CHI,True
51,1980.0,Eddie Jordan,25,NJN,82.0,0.481,0.047,0.254,5.3,29.6,3.8,0.6,18.6,20.2,4.1,0.07400000000000001,0.25,0.779,33.0,0.6699062104698593,18.37260067745578,4.299585999247272,32.40243902439025,-3.4999999999999996,0,0.0,29.5,LAL,False
52,1980.0,Elvin Hayes,34,WSB,81.0,0.4920000000000001,0.008,0.285,14.1,6.1,0.9,3.1,10.2,26.1,6.2,0.094,0.231,0.6990000000000001,1.0,0.8124336849314695,25.289349670122533,4.659754948162112,39.2962962962963,-1.1000000000000005,1,0.0,37.6,WSB,True
53,1980.0,Eric Fernsten,26,BOS,56.0,0.4970000000000001,0.0,0.34,12.4,8.7,1.8,1.6,10.2,18.1,1.2,0.133,0.05,0.635,61.0,0.0,17.039443155452435,4.788863109048724,7.696428571428571,-0.7,1,0.0,57.9,BOS,True
54,1980.0,Ernie Grunfeld,24,KCK,80.0,0.496,0.005,0.312,8.9,10.1,1.9,0.4,14.5,16.0,2.5,0.087,0.05,0.7709999999999999,11.0,0.3610295259416836,14.430923407301359,5.188260558339299,17.4625,1.0,0,0.0,48.300000000000004,KCK,True
55,1980.0,Foots Walker,28,CLE,76.0,0.527,0.016,0.428,6.3,29.5,2.9,0.3,18.9,13.2,6.1,0.12,0.05,0.802,38.0,0.6588656232006613,11.25681255161024,4.003303055326176,31.86842105263158,-4.6,0,0.0,40.60000000000001,NJN,False
56,1980.0,Fred Brown,31,SEA,80.0,0.532,0.104,0.16,4.8,15.5,1.8,0.6,10.4,23.4,4.9,0.138,0.443,0.8370000000000001,61.0,0.43959285871639503,23.78835978835979,3.3015873015873014,21.2625,0.2999999999999998,0,0.0,52.50000000000001,SEA,True
57,1980.0,Freeman Williams,23,SDC,82.0,0.527,0.095,0.177,4.9,13.3,1.6,0.2,10.6,30.5,4.1,0.092,0.328,0.815,8.0,0.5340087895277237,30.43626062322946,3.2861189801699715,25.82926829268293,-0.09999999999999964,0,0.0,21.8,SDC,True
58,1980.0,Gar Heard,31,PHO,82.0,0.453,0.005,0.21,14.9,8.8,2.7,1.9,16.4,15.2,2.3,0.08,0.05,0.7440000000000001,40.0,0.3537367005228501,14.027084818246616,6.0555951532430505,17.109756097560975,-0.2999999999999998,1,0.0,46.8,SDC,False
59,1980.0,Geoff Huston,22,NYK,71.0,0.425,0.071,0.158,3.4,20.0,1.9,0.3,22.1,13.8,-0.3,-0.017,0.17600000000000002,0.737,50.0,0.268769296334539,12.533044420368366,4.316359696641387,13.0,2.0,0,0.0,31.499999999999996,DAL,False
60,1980.0,George Gervin,27,SAS,78.0,0.5870000000000001,0.053,0.306,7.3,11.0,1.6,1.4,10.3,31.7,10.6,0.173,0.314,0.852,40.0,0.7776815734176896,31.738241308793448,3.402862985685072,37.615384615384606,-0.09999999999999964,0,0.0,38.5,SAS,True
61,1980.0,George McGinnis,29,DEN,73.0,0.487,0.017,0.551,16.4,21.4,2.1,0.6,20.3,24.4,1.9,0.041,0.133,0.5529999999999999,22.0,0.6253346747172414,19.26086956521739,6.586956521739131,30.246575342465754,-0.19999999999999996,1,0.0,26.2,IND,False
62,1980.0,Glen Gondrezick,24,DEN,59.0,0.575,0.021,0.423,13.2,10.9,3.1,0.8,14.6,15.3,3.1,0.145,0.05,0.76,26.0,0.3574246183327637,13.458823529411767,5.6,17.28813559322034,0.0,0,0.0,26.2,DEN,True
63,1980.0,Greg Ballard,25,WSB,82.0,0.532,0.043,0.206,13.1,9.7,1.7,0.8,10.0,21.6,6.9,0.136,0.34,0.753,4.0,0.6146900041872476,21.676784249384745,3.878589007383101,29.731707317073173,0.0,0,0.0,37.6,WSB,True
64,1980.0,Greg Kelser,22,DET,50.0,0.52,0.025,0.342,11.8,12.6,2.2,1.4,17.0,25.7,1.4,0.056,0.2,0.7190000000000001,4.0,0.5098346805853639,23.08515815085158,6.8515815085158165,24.66,-1.4,0,0.0,24.1,DET,True
65,1980.0,Gus Gerard,26,KCK,73.0,0.491,0.009000000000000001,0.287,10.9,6.9,2.2,1.7,11.1,20.3,1.9,0.104,0.05,0.66,50.0,0.24611224290275485,19.222094361334868,5.302646720368238,11.904109589041095,-1.5999999999999999,0,0.0,48.300000000000004,KCK,True
66,1980.0,Harvey Catchings,28,MIL,72.0,0.429,0.004,0.254,16.3,7.0,0.8,6.5,20.0,9.9,2.6,0.09,0.05,0.629,61.0,0.3922423705053208,8.573938506588581,6.711566617862371,18.972222222222218,0.5,1,0.0,48.39999999999999,MIL,True
67,1980.0,Henry Bibby,30,PHI,82.0,0.491,0.083,0.457,5.4,19.8,1.4,0.2,16.4,17.7,3.4,0.079,0.212,0.79,58.0,0.5130820994754097,14.765601965601967,3.7975429975429975,24.81707317073171,-2.4,0,0.0,42.300000000000004,SDC,False
68,1980.0,Jack Sikma,24,SEA,82.0,0.526,0.001,0.295,17.1,13.7,1.1,1.5,15.3,18.6,8.6,0.14800000000000002,0.05,0.805,8.0,0.704195726700157,16.996777658431792,3.987110633727175,34.060975609756106,-0.5999999999999996,1,0.0,52.50000000000001,SEA,True
69,1980.0,Jamaal Wilkes,26,LAL,82.0,0.563,0.013,0.172,9.2,10.8,1.9,0.5,9.7,20.8,10.0,0.154,0.17600000000000002,0.8079999999999999,11.0,0.7843726837680589,20.95274831243973,3.3944069431051105,37.939024390243894,-1.5,0,0.0,55.400000000000006,LAL,True
70,1980.0,James Bailey,22,SEA,67.0,0.495,0.0,0.373,14.3,5.3,1.4,4.1,20.0,21.4,1.0,0.063,0.05,0.6729999999999999,6.0,0.2240258428689728,17.917355371900822,7.669421487603307,10.835820895522387,3.9000000000000004,1,0.0,52.50000000000001,SEA,True
71,1980.0,James Edwards,24,IND,82.0,0.545,0.001,0.328,12.9,8.0,1.1,2.4,10.0,22.0,6.7,0.14,0.05,0.6809999999999999,46.0,0.5834260335066821,21.407087294727745,6.720829732065687,28.21951219512195,0.2999999999999998,1,0.0,42.099999999999994,IND,True
72,1980.0,James Hardy,23,UTA,76.0,0.536,0.006,0.182,14.6,8.8,1.4,3.1,21.1,13.4,1.8,0.054000000000000006,0.05,0.773,11.0,0.4352539211895368,10.89,6.209999999999999,21.05263157894737,-1.1,1,0.0,30.299999999999997,UTA,True
73,1980.0,James Silas,30,SAS,77.0,0.585,0.004,0.382,3.9,20.1,1.2,0.3,14.1,22.4,5.5,0.116,0.05,0.887,61.0,0.615672324170927,20.91234191016136,4.312254688181421,29.779220779220783,1.5,0,0.0,38.5,SAS,True
74,1980.0,Jeff Cook,23,PHO,66.0,0.546,0.011,0.469,14.6,12.2,1.4,1.1,17.6,17.7,2.4,0.126,0.05,0.8059999999999999,49.0,0.2831788390284653,14.601769911504427,5.415929203539823,13.696969696969695,2.1,1,0.0,46.8,PHO,True
75,1980.0,Jeff Judkins,23,BOS,65.0,0.5670000000000001,0.098,0.275,5.4,9.9,2.0,0.4,13.7,21.1,1.8,0.131,0.407,0.816,30.0,0.0,19.655786350148368,6.480712166172108,10.36923076923077,-1.1,0,0.0,57.9,UTA,False
76,1980.0,Jerome Whitehead,23,UTA,50.0,0.487,0.0,0.307,17.1,5.7,0.7,1.7,21.8,12.5,0.2,0.017,0.05,0.28600000000000003,41.0,0.22866064749692314,9.89511754068716,8.419529837251355,11.06,0.0,1,0.0,30.299999999999997,SDC,False
77,1980.0,Jim Brewer,28,POR,67.0,0.493,0.027000000000000003,0.158,13.9,9.6,2.0,2.5,19.3,9.8,2.0,0.096,0.05,0.483,2.0,0.31351274980010513,8.692913385826772,6.094488188976379,15.164179104477613,0.20000000000000018,1,0.0,37.5,LAL,False
78,1980.0,Jim Chones,30,LAL,82.0,0.521,0.003,0.222,12.8,7.6,1.1,1.4,17.3,16.9,3.5,0.071,0.05,0.74,31.0,0.6035963371715631,15.238095238095234,5.4335839598997495,29.195121951219512,1.2000000000000002,1,0.0,55.400000000000006,LAL,True
79,1980.0,Jim McElroy,26,DET,67.0,0.4920000000000001,0.04,0.326,3.4,20.0,1.4,0.7,17.9,18.8,0.8,0.024,0.238,0.767,38.0,0.4715034268647251,16.554973821989527,3.863874345549738,22.80597014925373,-1.7000000000000002,0,0.0,24.1,ATL,False
80,1980.0,Jim Paxson,22,POR,72.0,0.443,0.048,0.196,4.7,15.9,1.8,0.2,15.7,19.1,0.3,0.011,0.045,0.711,12.0,0.3646762888299834,17.385826771653544,3.6661417322834646,17.63888888888889,7.4,0,0.0,37.5,POR,True
81,1980.0,Jim Spanarkel,22,PHI,40.0,0.545,0.013,0.425,6.5,15.9,1.3,0.7,23.9,21.6,0.4,0.048,0.05,0.831,16.0,0.2284539018843581,16.615384615384613,6.298642533936652,11.05,5.1,0,0.0,42.300000000000004,DAL,False
